onset         duration      trial_type    valence       trial_number  stim_file     response      response_time
 2.108         5            VIEW          Negative       1            stimuli/9400.jpg            3              1.19 
 13.511        5            VIEW          Neutral        2            stimuli/nature.bmp          2              1.661 
 24.715        5            SUPPRESS      Negative       3            stimuli/5970.jpg            3              2.221 
 35.651        5            SUPPRESS      Negative       4            stimuli/6250.jpg            2              1.312 
 47.055        5            VIEW          Neutral        5            stimuli/mushroom1.bmp       1              1.591 
 58.325        5            SUPPRESS      Negative       6            stimuli/6312.jpg            1              0.994 
 69.729        5            SUPPRESS      Negative       7            stimuli/9432.jpg            3              1.978 
 81.132        5            VIEW          Negative       8            stimuli/6830.jpg            4              0.92 
 92.136        5            VIEW          Neutral        9            stimuli/stool.bmp           4              2.176 
 103.139       5            RETHINK       Negative       10           stimuli/9622.jpg            4              1.487 
 113.876       5            VIEW          Negative       11           stimuli/8230.jpg            1              1.581 
 125.212       5            RETHINK       Negative       12           stimuli/9007.jpg            2              1.145 
 136.082       5            VIEW          Neutral        13           stimuli/farmland.bmp        1              1.284 
 147.086       5            SUPPRESS      Negative       14           stimuli/9230.jpg            2              1.887 
 158.556       5            RETHINK       Negative       15           stimuli/1321.jpg            3              1.446 
 169.226       5            RETHINK       Negative       16           stimuli/2691.jpg            3              1.267 
 180.496       5            VIEW          Neutral        17           stimuli/agate2.bmp          4              1.69 
 191.166       5            RETHINK       Negative       18           stimuli/9530.jpg            2              2.211 
 202.37        5            SUPPRESS      Negative       19           stimuli/9270.jpg            4              1.61 
 213.64        5            VIEW          Negative       20           stimuli/2690.jpg            1              1.187 
 224.843       5            VIEW          Neutral        21           stimuli/filecabinet.bmp     3              1.702 
 235.913       5            RETHINK       Negative       22           stimuli/2205.jpg            1              2.144 
 246.717       5            RETHINK       Negative       23           stimuli/6211.jpg            4              1.358 
 257.32        5            SUPPRESS      Negative       24           stimuli/2490.jpg            4              1.709 
 268.79        5            VIEW          Neutral        25           stimuli/rack.bmp            3              0.885 
 279.727       5            VIEW          Negative       26           stimuli/2710.jpg            1              0.997 
 290.397       5            SUPPRESS      Negative       27           stimuli/7380.jpg            4              1.541 
 301.467       5            VIEW          Negative       28           stimuli/9620.jpg            3              2.166 
 312.27        5            VIEW          Neutral        29           stimuli/spoon.bmp           4              1.464 
 323.007       5            VIEW          Negative       30           stimuli/1201.jpg            1              1.786 
 333.877       5            VIEW          Negative       31           stimuli/9912.jpg            2              2.05 
 344.747       5            VIEW          Negative       32           stimuli/9041.jpg            3              1.678 
 356.217       5            VIEW          Neutral        33           stimuli/truck.bmp           2              1.492 
 366.954       5            RETHINK       Negative       34           stimuli/3300.jpg            3              1.178 
 377.624       5            SUPPRESS      Negative       35           stimuli/6940.jpg            1              2.058 
 388.627       5            VIEW          Negative       36           stimuli/9421.jpg            4              2.242 
 399.831       5            VIEW          Neutral        37           stimuli/beads.bmp           2              1.216 
 410.634       5            SUPPRESS      Negative       38           stimuli/6571.jpg            2              2.099 
 421.237       5            VIEW          Negative       39           stimuli/2700.jpg            4              0.761 
 431.907       5            RETHINK       Negative       40           stimuli/2751.jpg            4              1.412 
 442.711       5            VIEW          Neutral        41           stimuli/scarves.bmp         2              1.297 
